train5	是个工作日怎么算呀	0
train6	七十五工作日计算的	0
train7	什么时候国家备案人员	0
train8	有偿服务的意思是什么	0
train9	全部关系证明是什么	0
train10	什么是国家备案人员啊	0
train11	是国家备案证呀	0
train12	什么是国家备案人员呀	0
train13	嗯七个工作日怎么	0
train14	肩负关系证明是什么呀	0
train15	国家队呀元是什么意思	0
train16	什么是国家这样人呀	0
train17	就逃服务啥意思	0
train18	是个工作日如何计算的	0
train19	什么是牵住呢	0
train20	下一个工作是怎么算的呀	0
train21	清楚是什么意思呀	0
train22	七个工作日	0
train23	有偿服务是啥意思	0
train24	全就是什么意思	0
train25	你好我想了解一下在网上签注港澳通行证然后说我证件不符合网签条件是什么意思	0
train26	什么是国家必然人员呀	0
train32	您好请问我是外地户口必须要到市局办证厅办理吗	1
train33	我在渝中区在哪里办理比较轻	1
train34	如果可以对办理地点有无限制	1
train35	请问遂宁办理的港澳通行证续签在成都哪里可以续签我是本子的通行证	1
train36	我户口在山西港澳通行证需要续签请问在成都可以办理吗需要什么材料到哪里去办理谢谢	1
train37	我在渝北区在哪里把你比较新	1
train38	我在江北区在哪里办理比较	1
train39	可以到高新区出入境大厅办理吗	1
train40	你水区办理地址在哪里	1
train41	重庆市户口办理港澳通行证新鲜可以在哪里自助办理	1
train42	请问双流户口必须去双流分局办理港澳通行证吗可以去高新区或者天府新区办不	1
train43	重新户口办港澳通行证在哪里办	1
train44	在哪儿办谢谢	1
train45	我在渝北区在哪里办理的条件	1
train46	港澳通行证快到期了在高新区办证中心出入境接待大厅天府一期那个可否办理	1
train47	一北区的办理地址在哪里	1
train48	我在哪里办理短信	1
train49	你好请问高新区户口的港澳通行证办理地点是在哪里户口是高新区荣华南路的	1
train50	恩好的为您办理地址在哪里呢	1
train51	我以前是雅安户口在雅安办理了港澳通行证现在签注已经过期了户口也转到了成都续签该在哪里办理呢	1
train52	户口是高新区集体户办港澳台通行证必须去高新区的出入境大厅办理还是在成都市内任意一区就可以办理呢	1
train53	办理港澳再次签注的自助网点有哪些	1
train59	去澳门耍办理费用是否要很多钱	2
train60	办港澳通行证好多钱	2
train61	办签证需要多少钱呀	2
train62	办签证需要多少钱呀	2
train63	办一个签证多少钱	2
train64	去澳门耍一次要好多钱	2
train65	多少钱	2
train66	港澳通行证好多钱	2
train67	是否很贵	2
train68	成都武侯区户口港澳通行证跟换多少钱几个工作日可以取希望尽快电话回复一声谢谢谢谢	2
train69	办护照和港澳通行证分别需要多少钱呢	2
train70	香港旅游办理证件费用是好多	2
train71	喂你好三签证需要多少钱	2
train72	他办理港澳通行证的费用是多少	2
train73	港澳通行证过期重新办理怎么样收费	2
train74	转签证需要多少钱啊	2
train75	香港玩的话办理证件费用是好多	2
train76	办证多少钱	2
train77	证件办理要多少钱	2
train78	二次赴港办理港澳签证需要多少天工本费是多少需要带哪些资料如果在四川办理的港澳通行证在广东能出境吗	2
train79	办签证要多少钱呀	2
train85	我女儿没有上小学可以办理不	3
train86	读书娃儿可以办不	3
train87	我爷爷可以办理不	3
train88	有没有办理年龄要求	3
train89	对办理的年利有何要求	3
train90	我爸可以办理么	3
train91	年龄有限制没有	3
train92	小朋友可以办不	3
train93	学生可以办理吗	3
train94	没满16岁能办理么	3
train95	读大学可以办理港澳通行证不	3
train96	办理年龄要求的要求是什么	3
train97	读初中可以办理港澳通行证不	3
train98	你买十六岁	3
train99	小孩可以办理么	3
train100	有没有年龄要求	3
train101	没有满十六岁	3
train102	小朋友是否能出行	3
train103	年龄太大是不是没办法办理	3
train104	办理年龄要求是多少岁	3
train105	高中生可以办理吗	3
train112	本人阿坝州人满足在成都办理护照的条件7月29日在出入境管理处办理的护照港澳台通行证最快多久能拿到证件	4
